cpu,ram,disk_read,disk_write,net_sent,net_recv
32.7,68.3,27772526592,11466162176,19467408,305983508
15.4,68.3,27772559360,11466514432,19500341,305987240
12.3,68.3,27772559360,11466977280,19519996,305987941
8.4,68.3,27772559360,11466981376,19525191,305988675
2.0,68.3,27772559360,11467067392,19525331,305989072
18.9,67.9,27772559360,11467071488,19538425,305995894
5.8,68.0,27772559360,11467489280,19553648,306005323
8.1,67.5,27772559360,11468029952,19554029,306005663
11.1,67.4,27772567552,11468468224,19556560,306014772
13.3,67.3,27772567552,11468509184,19559864,306014772
21.4,67.4,27772567552,11468595200,19560069,306015301
17.4,66.9,27772600320,11469119488,19570867,306021943
18.7,66.8,27772600320,11470503936,19574543,306025317
23.5,66.7,27772600320,11470626816,19574605,306025317
27.3,66.4,27772719104,11471835136,19574710,306025391
23.0,65.0,27772850176,11473948672,19574772,306025391
13.2,65.0,27772855296,11473952768,19574880,306025616
18.2,64.9,27772855296,11473956864,19575091,306025736
19.2,64.9,27772855296,11474165760,19575445,306026131
15.6,64.9,27772855296,11474186240,19575594,306026395
9.9,64.9,27772855296,11474202624,19575764,306026449
21.9,65.3,27772855296,11474378752,19575924,306026515
16.4,65.2,27772855296,11474554880,19583160,306032891
16.6,65.1,27772926976,11474630656,19583160,306032891
16.4,65.1,27772943360,11474696192,19583160,306032891
18.6,65.1,27772943360,11475048448,19587217,306034276
16.5,65.1,27772943360,11475417088,19587365,306034609
16.6,65.1,27773008896,11475458048,19587536,306034729
16.1,65.1,27773008896,11475662848,19587755,306034889
12.7,65.1,27773025280,11475757056,19587976,306035151
15.2,65.1,27773029376,11475847168,19588038,306035151
18.5,65.2,27773029376,11475859456,19604187,306042124
30.1,65.4,27773029376,11476994048,19604512,306043164
34.0,65.5,27773029376,11477096448,19605420,306045147
15.5,65.5,27773053952,11478034432,19627772,306071757
14.5,65.6,27773119488,11479103488,19628581,306073039
18.0,65.3,27773119488,11479164928,19629117,306073918
19.7,65.2,27773119488,11479275520,19629933,306074986
17.6,65.2,27773119488,11479496704,19630689,306076159
26.3,65.5,27773512704,11479504896,19631227,306077095
26.5,64.9,27784332800,11479517184,19636028,306078838
21.4,64.9,27784349184,11480619008,19637147,306083669
27.2,65.2,27784508928,11481163776,19637339,306083821
13.8,65.2,27784508928,11482576896,19641017,306137695
17.5,65.1,27784508928,11482605568,19641017,306137761
14.7,65.2,27786376704,11482957824,19652946,306148147
19.9,65.3,27786573312,11483219968,19653370,306148147
11.0,65.3,27786573312,11483641856,19653963,306148395
28.8,65.2,27788289536,11483715584,19654018,306148461
44.8,65.8,27791889920,11484563456,19654208,306148782
14.6,66.0,27792213504,11485722624,19662498,306154846
17.5,66.0,27792213504,11485964288,19662689,306156843
36.7,66.0,27792332288,11486930944,19679612,306248234
42.2,66.3,27792524800,11488208896,19690212,306406455
46.9,67.2,27792590336,11488729088,19690586,306406943
30.5,67.4,27792717312,11489056768,19694305,306407713
12.8,66.9,27792717312,11489093632,19694379,306407891
10.8,66.3,27792717312,11489277952,19694570,306408058
14.2,66.1,27792717312,11489351680,19694570,306408058
12.5,65.7,27792717312,11489740800,19694740,306408283
12.4,65.7,27792733184,11489953792,19694953,306408411
10.1,65.7,27792733184,11490072576,19694953,306408411
12.5,65.7,27792733184,11490158592,19695320,306408731
11.9,65.7,27792733184,11490166784,19695394,306408909
22.2,65.7,27792733184,11490170880,19695531,306408995
17.4,65.7,27792733184,11490338816,19698089,306420000
10.9,65.7,27792753664,11490396160,19698144,306420066
12.2,65.7,27792753664,11490400256,19698303,306420174
13.2,65.7,27792753664,11490420736,19707910,306427070
12.6,65.6,27792753664,11491239936,19708266,306428489
10.9,65.6,27792753664,11491244032,19708464,306428489
12.2,65.6,27792753664,11491272704,19718967,306436562
12.6,65.6,27792819200,11491346432,19719213,306436869
11.7,65.6,27792819200,11491465216,19719395,306436923
13.0,65.6,27792819200,11491469312,19719457,306436923
17.5,65.6,27792819200,11491473408,19719457,306436923
18.9,65.7,27792847872,11491534848,19719664,306436997
12.3,65.7,27792864256,11493677056,19719980,306437277
11.7,65.7,27792864256,11494119424,19720128,306437601
9.9,65.7,27792864256,11494135808,19720190,306437601
11.6,65.7,27792864256,11496380416,19720561,306438163
15.5,65.7,27793011712,11497392128,19720561,306438163
12.7,65.7,27793275904,11497482240,19720678,306438229
14.8,65.7,27793275904,11497502720,19728130,306494408
21.1,66.3,27793476608,11497633792,19745212,306498611
22.8,66.5,27793575424,11498063872,19770860,306723474
16.6,66.2,27793803776,11498399744,19789699,307020234
34.9,66.9,27794004480,11499517952,19830507,308412374
19.6,66.9,27794037248,11499726848,19838468,308413509
10.5,66.7,27794049536,11500218368,19839927,308413905
12.1,66.7,27794049536,11500562432,19839927,308413905
